name,prep_time,portion,difficulty,description,category1,category2,photo
"High protein breakfast","5 minutes",2,"easy","Heat grill to high. Drizzle a little of the oil on your tomatoes and season well. Lay the tomatoes on a baking tray lined with foil and place under the grill. Cook for 4-5 mins, then add the bacon to the tray. Turn the bacon as necessary until it is cooked through. Turn off the grill and shut the door to keep everything warm. Meanwhile, heat the remaining oil in a large, non-stick frying pan over a high heat. Season your steak well and, when the pan is very hot, fry for 3-4 mins each side for medium-rare, then leave it to rest until you are ready to eat. While the steak is resting, throw the mushrooms into the still-hot pan, fry for 2-3 mins until browned, then move to one side of the pan. Add the spinach to the other side of the pan and cook until wilted. Put a saucepan of water on to boil. Crack the egg into the boiling water, then reduce the heat until the water is gently simmering. Poach the egg for 3-4 mins or until the white has set but the yolk is still runny. Carefully lift it out with a slotted spoon and drain on kitchen paper. Serve everything together and top with the poached egg.","breakfast",,"vrjrg28cagwmb3eu64ff.jpg"
"Indian chicken protein pots","10 minutes",2,"easy","Tear the corner from the lentil pack and microwave on High for 1 min. Leave to cool then tip into 2 large packed lunch pots. Top with the cherry tomatoes and chicken, add the fresh coriander then spoon on the tzatziki. Seal until ready to eat (see tip below).","lunch","dinner","ygws2s7pb2n4imelaegl.jpg"
"Creamy courgette lasagne","10 minutes",4,"medium","Heat oven to 220C/fan 200C/gas 7. Put a pan of water on to boil, then cook the lasagne sheets for about 5 mins until softened, but not cooked through. Rinse in cold water, then drizzle with a little oil to stop them sticking together. Meanwhile, heat the oil in a large frying pan, then fry the onion. After 3 mins, add the courgettes and garlic and continue to fry until the courgette has softened and turned bright green. Stir in 2/3 of both the ricotta and the cheddar, then season to taste. Heat the tomato sauce in the microwave for 2 mins on High until hot. In a large baking dish, layer up the lasagne, starting with half the courgette mix, then pasta, then tomato sauce. Repeat, top with blobs of the remaining ricotta, then scatter with the rest of the cheddar. Bake on the top shelf for about 10 mins until the pasta is tender and the cheese is golden.","lunch","dinner","qxyue5uoopgtq4sn6vwe.jpg"
"Chocolate brownie cake","15 minutes",6,"easy","Heat oven to 180C/fan 160C/gas 4. Grease and line a 20cm cake tin. Place the butter, caster sugar, brown sugar, chocolate and golden syrup in the pan and melt gently on a low heat until it is smooth and lump-free. Remove the pan from the heat. Break the eggs into the bowl and whisk with the fork until light and frothy. 5 Add the eggs, vanilla extract or essence, flour, baking powder and cocoa powder to the chocolate mixture and mix thoroughly. Put the mixture into the greased and lined cake tin and place on the middle shelf of the oven. Bake for 25-30 mins. Remove and allow to cool for 20-30 mins before cutting into wedges and serving. Serve with cream or ice cream and plenty of fresh fruit.","dessert",,"luzyfwwdehqv4cjntxmx.jpg"
"Moroccan chickpea soup","5 minutes",4,"difficult","Heat the oil in a large saucepan, then fry the onion and celery gently for 10 mins until softened, stirring frequently. Tip in the cumin and fry for another min. Turn up the heat, then add the stock, tomatoes and chickpeas, plus a good grind of black pepper. Simmer for 8 mins. Throw in broad beans and lemon juice, cook for a further 2 mins. Season to taste, then top with a sprinkling of lemon zest and chopped herbs. Serve with flatbread.","lunch","dinner","pdndyduhayjnruqdwmdq.jpg"
"Mushroom risotto","25 minutes",4,"medium","Put 50g dried porcini mushrooms into a large bowl and pour over 1 litre boiling water. Soak for 20 mins, then drain into a bowl, discarding the last few tbsp of liquid left in the bowl. Crumble 1 vegetable stock cube into the mushroom liquid, then squeeze the mushrooms gently to remove any liquid. Heat 2 tbsp olive oil in a shallow saucepan or deep frying pan over a medium flame. Add 1 finely chopped onion and 2 finely chopped garlic cloves, then fry for about 5 mins until soft. Stir in 250g chopped chestnut mushrooms and the dried mushrooms, season with salt and pepper and continue to cook for 8 mins until the fresh mushrooms have softened. Tip 300g risotto rice into the pan and cook for 1 min. Pour over a 175ml glass of white wine and let it bubble to nothing so the alcohol evaporates. Keep the pan over a medium heat and pour in a quarter of the mushroom stock. Simmer the rice, stirring often, until the rice has absorbed all the liquid. Add about the same amount of stock again and continue to simmer and stir - it should start to become creamy, plump and tender. By the time the final quarter of stock is added, the rice should be almost cooked. Continue stirring until the rice is cooked. If the rice is still undercooked, add a splash of water. Take the pan off the heat, add 25g butter and scatter over 25g grated parmesan or Grana Padano cheese and half a handful of chopped parsley leaves. Cover and leave for a few mins so that the rice can take up any excess liquid as it cools a bit. Give the risotto a final stir, spoon into bowls and scatter with the remaining 25g grated cheese and the remaining chopped parsley leaves.","lunch","dinner","ie0ien8ryfqli5ox2hbq.jpg"
"Spaghetti puttanesca","10 minutes","2","easy","Cook the spaghetti in simmering water for 10-12 mins until al dente. Meanwhile, fry the onion in the oil in a large non-stick frying pan with a lid until tender and turning golden. Stir in the chilli, garlic and cherry tomatoes. Add the vinegar, capers, olives and paprika with a ladleful of pasta water. Stir in the beans and cook until warmed through. Add the spinach to the pasta water to wilt, then drain well. Toss with the tomato and bean mixture and the parsley and basil, then pile onto plates or in shallow bowls to serve.","lunch","dinner","ju0vaesp1uept2wrfgkp.jpg"
"Tomato salad","15 minutes",2,"easy","Chop the tomatoes into equal-sized chunks and slice the onion, then transfer them to a bowl. Grate the garlic, then add to the tomatoes, along with the basil leaves. Sprinkle with salt, pour over the oil and toss together. Leave to infuse for up to 30 mins, then serve sprinkled with nigella seeds.","lunch","dinner","c39lqsupfda3rx9vc6zi.jpg"
"American blueberry pancakes","15 minutes",5,"easy","Mix together self-raising flour, baking powder and a pinch of salt in a large bowl. Beat egg with milk, make a well in the centre of the dry ingredients and whisk in the milk to make a thick smooth batter. Beat in a knob of melted butter, and gently stir in half of the 150g pack of blueberries. Heat a teaspoon of sunflower oil or small knob of butter in a large non-stick frying pan. Drop a large tablespoonful of the batter per pancake into the pan to make pancakes about 7.5cm across. Make three or four pancakes at a time. Cook for about 3 minutes over a medium heat until small bubbles appear on the surface of each pancake, then turn and cook another 2-3 minutes until golden. Cover with kitchen paper to keep warm while you use up the rest of the batter. Serve with golden or maple syrup and the rest of the blueberries.","breakfast","dessert","zomj8xxxs0r4hg96vcbx.jpg"
"Apple & blackberry crumble","25 minutes",5,"medium","Heat oven to 190C/170C fan/gas 5. Tip plain flour and sugar into a large bowl. Add unsalted butter, then rub into the flour using your fingertips to make a light breadcrumb texture. Do not overwork it or the crumble will become heavy. Sprinkle the mixture evenly over a baking sheet and bake for 15 mins or until lightly coloured. Meanwhile, for the compote, peel, core and cut apples into 2cm dice. Put unsalted butter and demerara sugar in a medium saucepan and melt together over a medium heat. Cook for 3 mins until the mixture turns to a light caramel. Stir in the apples and cook for 3 mins. Add  blackberries and ground cinnamon, and cook for 3 mins more. Cover, remove from the heat, then leave for 2-3 mins to continue cooking in the warmth of the pan. To serve, spoon the warm fruit into an ovenproof gratin dish, top with the crumble mix, then reheat in the oven for 5-10 mins. Serve with vanilla ice cream.","dessert",,"ogsmpl8qt51hjuzbpnmx.jpg"
